,0
0,-1.8369701987210297e-16
1,-0.09115025834099792
2,-0.16394585089124944
3,-0.22040148737535928
4,-0.26246474310609236
5,-0.29199241521972813
6,-0.31073287831954727
7,-0.3203136675660898
8,-0.3222335620380968
9,-0.3178584911942736
10,-0.30842064061580376
11,-0.2950201883071945
12,-0.2786291583425485
13,-0.26009693346646917
14,-0.24015702150804533
15,-0.219434721448221
16,-0.19845538316970607
17,-0.1776529999364525
18,-0.1573789142462717
19,-0.13791045573396093
20,-0.11945936422349633
21,-0.10217988186233616
22,-0.08617642560599112
23,-0.07151077529265894
24,-0.058208733328964174
25,-0.04626622979897119
26,-0.03565486182842734
27,-0.02632686851454604
28,-0.018219552903256175
29,-0.011259170595068422
30,-0.0053643108172201
31,-0.0004488004352348515
32,0.003575835397517882
33,0.006798320239819513
34,0.009305944312968842
35,0.011183216573021014
36,0.012510814650066936
37,0.01336479753719129
38,0.013816047488907749
39,0.01392990949620239
40,0.013765998847240963
41,0.013378149576893669
42,0.012814478984349308
43,0.012117545797397825
44,0.011324581935957596
45,0.010467780136951831
46,0.009574621916888869
47,0.0086682324440599
48,0.007767750852191569
49,0.006888706340339283
50,0.006043392063223685
51,0.005241230319573065
52,0.004489123894154608
53,0.0037917896055864966
54,0.003152071162404931
55,0.002571229341550505
56,0.0020492082849911946
57,0.0015848773710024219
58,0.0011762486665778283
59,0.0008206704166795967
60,0.0005149973846919217
61,0.0002557391364687375
62,3.918756738753709e-05
63,-0.00013847488299525778
64,-0.0002810847921117358
65,-0.0003924235079851884
66,-0.0004761575028378188
67,-0.0005357917562580037
68,-0.000574634644412608
69,-0.0005957728782381991
70,-0.000602055114714923
71,-0.0005960829570281235
72,-0.0005802081580376617
73,-0.0005565349439196427
74,-0.0005269264785296796
75,-0.000493014591821639
76,-0.0004562119958096542
77,-0.00041772630771793224
78,-0.0003785752910799986
79,-0.000339602810867696
80,-0.0003014950777373577
81,-0.0002647968288733429
82,-0.00022992715856207885
83,-0.00019719477056482954
84,-0.00016681247671627658
85,-0.00013891081219584968
86,-0.00011355067791027102
87,-9.073495475395591e-05
88,-7.041906358158961e-05
89,-5.252046896036953e-05
90,-3.6927144605467026e-05
91,-2.350503427964884e-05
92,-1.210455428794202e-05
93,-2.566192938199734e-06
94,5.274731133132014e-06
95,1.1584085678281282e-05
96,1.652564830019076e-05
97,2.0258467818007987e-05
98,2.293479552078337e-05
99,2.4698520223686377e-05
